Name,Incident,Penalty Points
the_goose1,Purposefully disrupting the race,5
the_goose1,Total Penalty Points,5
Madsgaming08,Purposefully disrupting the race,5
Madsgaming08,Minor contact,1
Madsgaming08,Total Penalty Points,6
willy_wanka2,Reckless driving endangering others (excessive contact),3
willy_wanka2,Reckless driving endangering others (excessive contact),3
willy_wanka2,Total Penalty Points,6
Manifake,Total Penalty Points,0
Velocity,Minor contact,1
Velocity,Total Penalty Points,1
ShingoBilova,Offroading,1
ShingoBilova,Cutting corners with advantage gained,1
ShingoBilova,Total Penalty Points,2
_Hoot,Total Penalty Points,0
Ender345,Total Penalty Points,0
Turbo49,Total Penalty Points,0
F0bba,Offroading,1
F0bba,Not listening to EM,4
F0bba,Total Penalty Points,5
SpeedySpeedBoy,Total Penalty Points,0
ImCentii,Minor contact,1
ImCentii,Offroading,1
ImCentii,Minor contact,1
ImCentii,Intentional ramming,2
ImCentii,Offroading,1
ImCentii,Total Penalty Points,6
F15_E4GLE,Total Penalty Points,0
