Name,Penalty Points,Safety Rating
2-Step_Vapor,2,73
Adam404,5,69
Aspect9,0,75
DormantCurrawong,1,74
Ender345,0,75
F0BBa,0,75
F0bba,5,69
F15_E4GLE,0,75
ImCentii,6,68
JokerFruit029,2,73
Madsgaming08,6,68
Manifake,0,75
Pancake,0,75
Retinue,2,73
ShingoBilova,2,73
Spaghetti806,0,75
SpeedySpeedBoy,0,75
SuperRaptor_1,0,75
ThePhantomDriver,4,71
Turbo49,0,75
Velocity,1,74
ZiphloWasTaken,0,75
_Hoot,0,75
bowtie_dylan,3,72
intergost507,4,71
krrem,2,73
mola,0,75
the_goose1,5,69
willy_wanka2,6,68
xMrSediiBoss,1,74
